id,label,group,level
894,PEX13,human protein,3
895,PEX2,human protein,3
896,PEX6,human protein,3
897,PFDN2,human protein,3
898,PFKFB3,human protein,3
899,PFKP,human protein,3
900,PGAP2,human protein,3
901,PGM1,human protein,3
902,PHB,human protein,3
903,PHB2,human protein,3
904,PHPT1,human protein,3
905,PI4K2A,human protein,3
906,PIGO,human protein,3
907,PIGS,human protein,3
908,PIGT,human protein,3
909,PIGU,human protein,3
910,PIK3R3,human protein,3
911,PISD,human protein,3
912,PITRM1,human protein,3
913,PKP2,human protein,3
914,PLAT,human protein,3
915,PLAU,human protein,3
916,PLD3,human protein,3
917,PLEKHA5,human protein,3
918,PLEKHF2,human protein,3
919,PLEKHG4,human protein,3
920,PLIN2,human protein,3
921,PLIN3,human protein,3
922,PLOD2,human protein,3
923,PLP2,human protein,3
924,PLRG1,human protein,3
925,PLS3,human protein,3
926,PLXNA1,human protein,3
927,PLXND1,human protein,3
928,PMEPA1,human protein,3
929,PMM2,human protein,3
930,PMPCA,human protein,3
931,PMPCB,human protein,3
932,PNKD,human protein,3
933,PNPLA2,human protein,3
934,POFUT1,human protein,3
935,POGLUT2,human protein,3
936,POGLUT3,human protein,3
937,POLA1,human protein,3
938,POLA2,human protein,3
939,POLD3,human protein,3
940,POLR2B,human protein,3
941,POLR2J3; UPK3BL; UPK3BL1; LOC102724187; LOC107983993; UPK3BL2,human protein,3
942,POLRMT,human protein,3
943,POMGNT1,human protein,3
944,POMT1,human protein,3
945,POR,human protein,3
946,PPA1,human protein,3
947,PPA2,human protein,3
948,PPIA,human protein,3
949,PPIC,human protein,3
950,PPIL3,human protein,3
951,PPM1B,human protein,3
952,PPP1CB,human protein,3
953,PPP2R1A,human protein,3
954,PPP4R2,human protein,3
955,PPP6R3,human protein,3
956,PPT1,human protein,3
957,PRAF2,human protein,3
958,PRIM1,human protein,3
959,PRIM2,human protein,3
960,PRKACA,human protein,3
961,PRKAR2A,human protein,3
962,PRKAR2B,human protein,3
963,PRKCSH,human protein,3
964,PRKDC,human protein,3
965,PRKRA,human protein,3
966,PROCR,human protein,3
967,PROS1,human protein,3
968,PRPF3,human protein,3
969,PRPF31,human protein,3
970,PRPF39,human protein,3
971,PRPF40A,human protein,3
972,PRPF4B,human protein,3
973,PRPS2,human protein,3
974,PRRC1,human protein,3
975,PRRC2A,human protein,3
976,PRRC2B,human protein,3
977,PSAT1,human protein,3
978,PSEN2,human protein,3
979,PSMA4,human protein,3
980,PSMA6,human protein,3
981,PSMA7,human protein,3
982,PSMC1,human protein,3
983,PSMC2,human protein,3
984,PSMC5,human protein,3
985,PSMD1,human protein,3
986,PSMD11,human protein,3
987,PSMD13,human protein,3
988,PSMD2,human protein,3
989,PSMD6,human protein,3
990,PSMD7,human protein,3
991,PSMD8,human protein,3
992,PTBP1,human protein,3
993,PTBP2,human protein,3
994,PTDSS1,human protein,3
995,PTDSS2,human protein,3
996,PTGES,human protein,3
997,PTGES2,human protein,3
998,PTGR1,human protein,3
999,PTPLAD1; HACD3,human protein,3
